author,title
Khaled Nagi,Scalability of a Transactional Infrastructure for Multi-Agent Systems.
"David V. Pynadath, Milind Tambe, Gal A. Kaminka",Adaptive Infrastructures for Agent Integration.
"Aude Billard, Maja J. Mataric",A biologically inspired robotic model for learning by imitation.
"Olivier Gutknecht, Jacques Ferber",The MADKIT Agent Platform Architecture.
Ralph Deters,Developing and deploying a multi agent system.
"H. Van Dyke Parunak, Sven Brueckner",Ant-like missionaries and cannibals: synthetic pheromones for distributed motion control.
"Bart Nooteboom, Tomas Klos, Renè Jorna",Adaptive Trust and Co-operation: An Agent-Based Simulation Approach.
"Stefan Weber, Maja J. Mataric, Odest Chadwicke Jenkins",Experiments in imitation using perceptuo-motor primitives.
"Marcelo G. Rubinstein, Otto Carlos Muniz Bandeira Duarte, Guy Pujolle",Improving management performance by using multiple mobile agents.
"Wei-Min Shen, Yimin Lu, Peter M. Will",Hormone-based control for self-reconfigurable robots.
"Jonathan Bredin, Rajiv T. Maheswaran, Çagri Imer, Tamer Basar, David Kotz, Daniela Rus",A game-theoretic formulation of multi-agent resource allocation.
"Renee Elio, Afsaneh Haddadi, Ajit Singh",Abstract task specifications for conversation policies.
"John Collins, Corey Bilot, Maria L. Gini",Mixed-initiative decision support in agent-based automated contracting.
"Habib Ammari, Ali Mili",Lattice Based Distances.
"Ivo Düntsch, Ewa Orlowska, Hui Wang",An Algebraic and Logical Approach to the Approximation of Regions.
"Yasuo Kawahara, Hitomi Ohkuma",Relational Aspects of Relational Database Dependencies.
"Tobias Polzin, Siavash Vahdati Daneshmand",Primal-dual approaches to the Steiner problem.
Moses Charikar,Greedy approximation algorithms for finding dense components in a graph.
"Baruch Awerbuch, Yossi Azar, Oded Regev",Maximizing job benefits on-line.
"Jordi Castellà, Josep Domingo-Ferrer, Jordi Herrera-Joancomartí, Jordi Planes",A Performance Comparison of Java Cards for Micropayment Implementation.
Fabrice Boudot,Partial revelation of certified identity.
Katherine Isbister,A Warm Cyber-Welcome: Using an Agent-Led Group Tour to Introduce Visitors to Kyoto.
"Keith N. Hampton, Barry Wellman",Examining Community in the Digital Neighborhood: Early Results from Canada's Wired Suburb.
William J. Mitchell,Designing the Digital City.
"Masaki Nakanishi, Kiyoharu Hamaguchi, Toshinobu Kashiwabara",Ordered Quantum Branching Programs Are More Powerful than Ordered Probabilistic Branching Programs under a Bounded-Width Restriction.
"Cao An Wang, Bo-Ting Yang",Tetrahedralization of Two Nested Convex Polyhedra.
"Zhi-Zhong Chen, Xin He",Hierarchical Topological Inference on Planar Disc Maps.
"Petra Mutzel, René Weiskircher",Computing Optimal Embeddings for Planar Graphs.
"Giuseppe Di Battista, Giuseppe Liotta, Anna Lubiw, Sue Whitesides",Embedding Problems for Paths with Direction Constrained Edges.
"Yaw-Ling Lin, Fang-Rong Hsu, Yin-Te Tsai",Efficient Algorithms for the Minimum Connected Domination on Trapezoid Graphs.
"William Duckworth, Nicholas C. Wormald, Michele Zito",Maximum Induced Matchings of Random Cubic Graphs.
Subhas C. Nandy,An Efficient k Nearest Neighbor Searching Algorithm for a Query Line.
Michael W. Mislove,Nondeterminism and Probabilistic Choice: Obeying the Laws.
"Yolanda Villate, Arantza Illarramendi, Evaggelia Pitoura",Data Lockers: Mobile-Agent Based Middleware for the Security and Availability of Roaming Users Data.
"Paolo Baerlocher, Ronan Boulic",Parametrization and Range of Motion of the Ball-and-Socket Joint.
"Dong Hoon Lee, Soon Ki Jung",Delaunay Triangles Model for Image-Based Motion Retargeting.
"Olivier Parisy, Christophe Schlick",Object-Oriented Reformulation and Extension of Implicit Free-Form Deformations.
Jean-Christophe Nebel,Soft Tissue Modeling from 3D Scanned Data.
Alon Rosen,A Note on the Round-Complexity of Concurrent Zero-Knowledge.
"János Pach, Gábor Tardos",Cutting glass.
"Sándor P. Fekete, Joseph S. B. Mitchell, Karin Weinbrecht",On the continuous Weber and 
"Nancy M. Amato, Michael T. Goodrich, Edgar A. Ramos",Linear-time triangulation of a simple polygon made easier via randomization.
"Sariel Har-Peled, Piotr Indyk",When crossings count - approximating the minimum spanning tree.
Matthias Müller-Hannemann,Improving the surface cycle structure for hexahedral mesh generation.
"Jinyang Li, John Jannotti, Douglas S. J. De Couto, David R. Karger, Robert Morris",A scalable location service for geographic ad hoc routing.
"Sergio Marti, Thomas J. Giuli, Kevin Lai, Mary Baker",Mitigating routing misbehavior in mobile ad hoc networks.
"Brad Karp, H. T. Kung",GPSR: greedy perimeter stateless routing for wireless networks.
"Thyagarajan Nandagopal, Tae-eun Kim, Xia Gao, Vaduvur Bharghavan",Achieving MAC layer fairness in wireless packet networks.
"Lakshminarayanan Subramanian, Randy H. Katz",An architecture for building self-configurable systems.
"Seungjoon Lee, Chongkwon Kim",Neighbor supporting ad hoc multicast routing protocol.
"John W. Byers, Gabriel Nasser",Utility-based decision-making in wireless sensor networks.
"György Miklós, András Rácz, Zoltán Turányi, Andras Valkó, P. Johansson",Performance aspects of Bluetooth scatternet formation.
"David Ung, Cristina Cifuentes",Machine-adaptable dynamic binary translation.
"Dawson R. Engler, Wilson C. Hsieh",Derive: a tool that automatically reverse-engineers instruction encodings.
"Martijn C. J. Bot, William B. Langdon",Application of Genetic Programming to Induction of Linear Classification Trees.
"Andi Baritchi, Diane J. Cook, Lawrence B. Holder",Discovering Structural Patterns in Telecommunications Data.
"Joseph E. Beck, Beverly Park Woolf",Reasoning from Data Rather than Theory.
"Ioannis Hatzilygeroudis, Jim Prentzas",Producing Modular Hybrid Rule Bases for Expert Systems.
"Roger Norton, S. Rebecca Thomas",Domain Semantics for Agent-Oriented Programming.
William A. Greene,Partitioning Sets with Genetic Algorithms.
"Olav Bangsø, Pierre-Henri Wuillemin",Top-Down Construction and Repetetive Structures Representation in Bayesian Networks.
"Richard Nock, Marc Sebban",A Boosting-Based Prototype Weighting and Selection Scheme.
José Meseguer,Rewriting Logic and Maude: a Wide-Spectrum Semantic Framework for Object-Based Distributed Systems.
"John Derrick, Eerke A. Boiten",Refinement of objects and operations in Object-Z.
Yunming Wang,Behavior Expression and OMDD.
"José Ambrosio Toval Álvarez, José Luis Fernández Alemán",Formally Modeling UML and its Evolution: A Holistic Approach.
"Nadia Busi, Roberto Gorrieri, Gianluigi Zavattaro",On the Semantics of JavaSpaces.
"Lynne Blair, Trevor Jones, Gordon S. Blair",Stochastically Enhanced Timed Automata.
Paqui Lucio,Structured Sequent Calculi for Combining Intuitionistic and Classical First-Order Logic.
"Mary F. Fernandez, Jérôme Siméon, Philip Wadler",An Algebra for XML Query.
"Jan-Georg Smaus, François Fages, Pierre Deransart",Using Modes to Ensure Subject Reduction for Typed Logic Programs with Subtyping.
Igor Walukiewicz,Model Checking CTL Properties of Pushdown Systems.
"Marc Geilen, Dennis Dams",An On-the-Fly Tableau Construction for a Real-Time Temporal Logic.
Deepak D'Souza,A Logical Characterisation of Event Recording Automata.
Yoram Moses,Issues in the Refinement of Distributed Programs.
"Manhee Jo, Yoshihiko Ebihara",A Study on Delayed Packet Discard Schemes.
"Guangyu Pei, Mario Gerla, Tsu-Wei Chen",Fisheye State Routing in Mobile Ad Hoc Networks.
"María-del-Mar Gallardo, Pedro Merino",Verifying Distributed Systems with Model Checking and Static Analysis.
"Guillermo Rodriguez, Pedro Merino",Modelling and Simulation of Active Network Protocols.
"Yiling Yang, Xudong Guan, Jinyuan You",Enhanced Algorithm for Mining Frequently Visited Page Groups.
"Ramandeep Singh Khurana, Hesham El-Rewini, Imad Mahgoub",On the Use of DNS to Locate Nomadic Hosts on the Internet.
"Charu C. Aggarwal, Joel L. Wolf, Kun-Lung Wu, Philip S. Yu",The Intelligent Recommendation Analyzer.
"Ryo Takeuchi, Akira Miura, Masanobu Yoshimi",Interworking among Intelligent Networks and Different Networks: Service Control Interfaces and Their Applications.
"Vangalur S. Alagar, Olga Ormandjieva, Mao Zheng",Managing Complexity in Real-Time Reactive Systems.
"Aynur Abdurazik, Paul Ammann, Wei Ding, Jeff Offutt",Evaluation of Three Specification-Based Testing Criteria.
"Farhad Daneshgar, Pradeep Ray",Awareness Modeling and Its Application in Cooperative Network Management.
"Wen-Tsuen Chen, Jyh-Shin Lee",Some Mechanisms to Improve TCP/IP Performance over Wireless and Mobile Computing Environment.
"Yuh-Shyan Chen, Tong-Ying Juang, Ying-Ying Shen",Multi-Node Broadcasting in an Arrangement Graph Using Multiple Spanning Trees.
"Ryoji Haruki, Takahiko Horiuchi","Improved and Extended Scalable Image Coding by Spline Approximation for a Binary, Gray-Scale and Color Image."
"Windsor W. Hsu, Alan Jay Smith, Honesty C. Young",Projecting the Performance of Decision Support Workloads on Systems with Smart Storage (SmartSTOR).
"K. Y. Leung, K. H. Yeung",The Design and Implementation of a WWW Traffic Generator.
Shoichi Noguchi,Network Computing Technology and Information Society toward 21st Century.
"Chotipat Pornavalai, Debasish Chakraborty, Goutam Chakraborty, Norio Shiratori",Dynamic Multicast Routing in Advance Resource Reservation Environment.
"Chih-Yung Chang, Jang-Ping Sheu, Hsi-Chiuen Chen",Reducing Cache Conflicts by Multi-Level Cache Partitioning and Array Elements Mapping.
"Chang-Kyu Lee, Jong Hyuk Choi, Kyu Ho Park, Bong Wan Kim",Fast & Cost Effective Cache Invalidation in DSM.
"Chungnan Lee, MinHong Horng, Chuanwen Chiang, JiingKae Wu",A Competence-Based Scheduling Method for Web Computing.
Cengiz Günay,Agent Architecture: Using Java Exeptions in a Nonstandard Way and an Object Oriented Approach to Evolution of Intelligence.
"Yi Cui, Nan Zhou",Blob Analysis Using Watershed Transformation.
"Christos Stergiou, Jeremy Pitt, Frank Guerin, Alexander Artikis",Implementing Multi-party Agent Conversations.
"Lucia Frosini, Giovanni Petrecca",Black-Box Identification of the Electromagnetic Torque of Induction Motors: Polynomial and Neural Models.
"Ana Cristina Bicharra Garcia, Paula Marisa Maciel, Inhaúma Neves Ferraz",ADDGEO: An Intelligent Agent to Assist Geologist Finding Petroleum in Offshore Lands.
"Cristinel Mateis, Markus Stumptner, Franz Wotawa",Locating Bugs in Java Programs - First Results of the Java Diagnosis Experiment Project.
"Simon Feraday, Chris Harris, Kihong Shin, Mike Brennan, Malcolm Lindsay",The Use of AI Methods for Evaluating Condition Dependent Dynamic Models of Vehicle Brake Squeal.
Adel A. Sewisy,Detection of Circular Object with a High Speed Algorithm.
Pattarachai Lalitrojwong,CIM - The Hybrid Symbolic/Connectionist Rule-Based Inference System.
"Hahn-Ming Lee, Chih-Ming Chen, Cheng-Wei Hwang",A Neural Network Document Classifier with Linguistic Feature Selection.
Y. B. Karasik,Inventiveness as Belief Revision and a Heuristic Rule of Inventive Design.
"Frederick E. Petry, Maria J. Somodevilla","Modeling Issues for Rubber-Sheeting Process in an Object Oriented, Distributed and Parallel Environment."
"Miguel Rocha, Carla Vilela, José Neves",A Study of Order Based Genetic and Evolutionary Algorithms in Combinatorial Optimization Problems.
"Martin Berger, Gernot Bachler, Stefan Scherer",Vision Guided Bin Picking and Mounting in a Flexible Assembly Cell.
"Myung-Soo Kim, Gershon Elber",Problem Reduction to Parameter Space.
"Jörg Peters, Georg Umlauf",Gaussian and Mean Curvature of Subdivision Surfaces.
Michael J. Pratt,Modelling of Material Property Variation for Layered Manufacturing.
"Hassan Ugail, Michael Robinson, Malcolm I. G. Bloor, Michael J. Wilson",Interactive Design of Complex Mechanical Parts using a Parametric Representation.
"Kagan Gokbayrak, Christos G. Cassandras",Hybrid Controllers for Hierarchically Decomposed Systems.
Alberto L. Sangiovanni-Vincentelli,Models of Computation and Simulation of Hybrid Systems.
Jan Lunze,Diagnosis of Quantised Systems by Means of Timed Discrete-Event Representations.
"Oleg Botchkarev, Stavros Tripakis",Verification of Hybrid Systems with Linear Differential Inclusions Using Ellipsoidal Approximations.
Ortrun Ibens,Search Space Compression in Connection Tableau Calculi Using Disjunctive Constraints.
"Noriko H. Arai, Alasdair Urquhart",Local Symmetries in Propositional Logic.
"Marta Cialdea Mayer, Serenella Cerrito",Variants of First-Order Modal Logics.
Stéphane Demri,Complexity of Simple Dependent Bimodal Logics.
Linh Anh Nguyen,"Sequent-Like Tableau Systems with the Analytic Superformula Property for the Modal Logics KB, KDB, K5, KD5."
"Julio Mellado, Manuel Sierra, Ana Romera, Juan C. Dueñas",Railway-Control Product Families: The Alcatel TAS Platform Experience.
Dewayne E. Perry,A Product Line Architecture for a Network Product.
Günter Böckle,Discussion Report ``Business'' Session.
"Juha Kuusela, Jan Bosch",Summary of Product Family Concepts Session.
"Robert Hood, Gabriele Jost",Support for Debugging Automatically Parallelized Programs.
"Michiel Ronsse, Koenraad De Bosschere, Jacques Chassin de Kergommeaux",Execution replay and debugging.
"Cristinel Mateis, Markus Stumptner, Dominik Wieland, Franz Wotawa",Model-Based Debugging of Java Programs.
Raimondas Lencevicius,On-the-fly query-based debugging with examples.
"Xavier Tricoche, Gerik Scheuermann, Hans Hagen",A topology simplification method for 2D vector fields.
"Georges-Pierre Bonneau, Stefanie Hahmann",Polyhedral modeling.
"Arthur D. Gregory, Ajith Mascarenhas, Stephen A. Ehmann, Ming C. Lin, Dinesh Manocha",Six degree-of-freedom haptic display of polygonal models.
"James P. Ahrens, Kai Li, Daniel A. Reed",Next-generation visualization displays: the research challenges of building tiled displays (panel session).
"Chuan-Kai Yang, Tulika Mitra, Tzi-cker Chiueh",On-the-Fly rendering of losslessly compressed irregular volume data.
"Kay A. Robbins, Michael Gorman",Fast visualization methods for comparing dynamics: a case study in combustion.
"J. Edward Swan II, Marco Lanzagorta, Doug Maxwell, Eddy Kuo, Jeff Uhlmann, Wendell Anderson, Haw-Jye Shyu, William Smith",A computational steering system for studying microwave interactions with missile bodies.
"T. J. Jankun-Kelly, Kwan-Liu Ma",A spreadsheet interface for visualization exploration.
"Yuqun Chen, Douglas W. Clark, Adam Finkelstein, Timothy C. Housel, Kai Li",Automatic alignment of high-resolution multi-projector display using an un-calibrated camera.
"Olivier Devillers, Pierre-Marie Gandoin",Geometric compression for interactive transmission.
"Hanspeter Pfister, William E. Lorensen, William J. Schroeder, Chandrajit L. Bajaj, Gordon L. Kindlmann",The transfer function bake-off (panel session).
"Rami Hietala, Jarkko Oikarinen",A visibility determination algorithm for interactive virtual endoscopy.
"Thomas Gerstner, Renato Pajarola",Topology preserving and controlled topology simplifying multiresolution isosurface extraction.
"Wei-Chao Chen, Herman Towles, Lars S. Nyland, Greg Welch, Henry Fuchs",Toward a compelling sensation of telepresence: demonstrating a portal to a distant (static) office.
"Reinhard Budde, Axel Poigné",Complex Reactive Control with Simple Synchronous Models.
"Marcelo H. Cintra, Guido Araujo",Array Reference Allocation Using SSA-Form and Live Range Growth.
"Sandro Etalle, Jon Mountjoy",The lazy functional side of logic programming.
"Daniel Harari, Miriam Furst, Nahum Kiryati, Asaf Caspi, Michael Davidson",Computer-Based Assessment of Body Image Distortion in Anorexia Nervosa Patients.
"Michael I. Miga, Andreas Staubert, Keith D. Paulsen, Francis E. Kennedy, Volker M. Tronnier, David W. Roberts, Alex Hartov, Leah A. Platenik, Karen E. Lunn",Model-Updated Image-Guided Neurosurgery: Preliminary Analysis Using Intraoperative MR.
"Sarah Graham, Russell H. Taylor, Michael Vannier",Needs Assessment for Computer-Integrated Surgery Systems.
"Terry S. Yoo, Michael J. Ackerman, Michael Vannier",Toward a Common Validation Methodology for Segmentation and Registration Algorithms.
"Kiyoyuki Chinzei, Nobuhiko Hata, Ferenc A. Jolesz, Ron Kikinis",MR Compatible Surgical Assist Robot: System Integration and Preliminary Feasibility Study.
"P. W. de Bruin, Frans Vos, Frits H. Post, Sarah F. Frisken Gibson, Albert M. Vossepoel",Improving Triangle Mesh Quality with SurfaceNets.
"Sébastien Ourselin, Alexis Roche, Sylvain Prima, Nicholas Ayache",Block Matching: A General Framework to Improve Robustness of Rigid Registration of Medical Images.
"M. Lajolo, Luciano Lavagno, Matteo Sonza Reorda, Massimo Violante",Early Power Estimation for System-on-Chip Designs.
"Francesco Pessolano, Joep L. W. Kessels",Asynchronous First-in First-out Queues.
"Manuela Anton, Mauro Chinosi, Daniele Sirtori, Roberto Zafalon",Architectural Design Space Exploration Achieved through Innovative RTL Power Estimation Techniques.
"Philippe Maurine, M. Rezzoug, Daniel Auvergne",Internal Power Dissipation Modeling and Minimization for Submicronic CMOS Design.
"Tom Wichmann, Manfred Thole",Computer Aided Generation of Analytic Models for Nonlinear Function Blocks.
"Gerd Jochens, Lars Kruse, Eike Schmidt, Ansgar Stammermann, Wolfgang Nebel",Power Macro-Modelling for Firm-Macro.
"Curtis Clifton, Gary T. Leavens, Craig Chambers, Todd D. Millstein",MultiJava: modular open classes and symmetric multiple dispatch for Java.
"Jan-Willem Maessen, Arvind, Xiaowei Shen",Improving the Java memory model using CRF.
"Matthew Arnold, Stephen J. Fink, David Grove, Michael Hind, Peter F. Sweeney",Adaptive optimization in the Jalapeño JVM.
"Zhenyu Qian, Allen Goldberg, Alessandro Coglio",A formal specification of Java
"Stephan Herrmann, Mira Mezini",PIROL: a case study for multidimensional separation of concerns in software engineering environments.
"Serge Demeyer, Stephane Ducasse, Oscar Nierstrasz",Finding refactorings via change metrics.
"Lifeng He, Yuyan Chao, Koji Yamada, Tsuyoshi Nakamura, Hidenori Itoh",Multi-agent Cooperative Reasoning Using Common Knowledge and Implicit Knowledge.
"Hee-Su Kim, Sung-Bae Cho",Genetic Algorithm with Knowledge-Based Encoding.
"Jean-Christophe Soulié, Pierre Marcenac",A Framework to Model Multiple Environments in Multiagent Systems.
"K. Lee, Y. Lee",A Framework of Two-Stage Combination of Multiple Recognizers for Handwritten Numerals.
Itsuki Noda,Framework of Distributed Simulation System for Multi-agent Environment.
Toru Sugimoto,A Preference-Based Theory of Intention.
Nancy E. Reed,Teamwork and Adjustable Autonomy in Agents.
"Kanagasabai Rajaraman, Hong Pan",Document Clustering using 3-tuples.
"Sivakumar Nagarajan, Scott D. Goodwin, Abdul Sattar",Dual Encoding Using Constraint Coverings.
Paul Wong,Inconsistency and Preservation.
"Penny Ray, Mark Toleman, Dickson Lukose",Emotional Intelligence for Intuitive Agents.
"Kazunori Iwata, Nobuhiro Ito, Naohiro Ishii",Formalization for the Agent Method by Using pi-Calculus.
Randy Goebel,"Knowledge Representation, Belief Revision, and the Challenge of Optimality."
"K. Suzanne Barber, Cheryl E. Martin, Nancy E. Reed, David Kortenkamp",Dimensions of Adjustable Autonomy.
"Paul Scerri, Nancy E. Reed",Making Adjustable Autonomy Easier with Teamwork.
"Takashi Ishikawa, Masayuki Numao, Takao Terano",Using Domain Knowledge in ILP to Discover Protein Functional Models.
"Rudy Setiono, Wee Kheng Leow",Pruned Neural Networks for Regression.
"K. Suzanne Barber, Cheryl E. Martin, Ryan McKay",A Communication Protocol Supporting Dynamic Autonomy Agreements in Multi-agent Systems.
"Juan Garbajosa, Pedro Pablo Alarcón, Hector Garcia, Maria Alandes, Mario Piattini",Introducing the Data Role in Models for Database Assessment.
"Dietmar Pfahl, Reidar Conradi, Michael Haug, Harri Reiman, Kurt Schneider",Panel Session Corporate Software Engineering Knowledge Networks: How Can They Improve Training of the Workforce in Software Organisations?
"D. Ross Jeffery, Fredrik Utbult, Kevin Chung, Sabine Bruynincx",The Effect of Constraint Notification within a Case Tool Environment of Design Productivity and Quality.
"Dietmar Pfahl, Andreas Birk",Using Simulation to Visualise and Analyse Product-Process Dependencies in Software Development Projects.
"Nicholas Hawlitzky, Alexander Münnich, Beate Nothelfer-Kolb, Martin Rappl",Managing Distributed Software Development - A Portfolio Based Methodology.
"Mohsen Rezagholi, Michael Frey",Managing Engineering and Product Technology: A Method for Technology Assessment.
"Reidar Conradi, Torgeir Dingsøyr",Software Experience Bases: A Consolidated Evaluation and Status Report.
"Jeremy Pitt, E. H. Mamdani",Communication Protocols in Multi-agent Systems: A Development Method and Reference Architecture.
"Rogier M. van Eijk, Frank S. de Boer, Wiebe van der Hoek, John-Jules Ch. Meyer",Operational Semantics for Agent Communication Languages.
"Tatsuya Akutsu, Satoru Miyano, Satoru Kuhara",Algorithms for identifying Boolean networks and related biological networks based on matrix multiplication and fingerprint function.
"Kevin Chen, Dannie Durand, Martin Farach-Colton",Notung: dating gene duplications using gene family trees.
"Benny Chor, Michael D. Hendy, Barbara R. Holland, David Penny",Multiple maxima of likelihood in phylogenetic trees: an analytic approach.
"Swarup Acharya, Phillip B. Gibbons, Viswanath Poosala",Congressional Samples for Approximate Answering of Group-By Queries.
"Alexander S. Szalay, Peter Z. Kunszt, Ani Thakar, Jim Gray, Donald R. Slutz",Designing and Mining Multi-Terabyte Astronomy Archives: The Sloan Digital Sky Survey.
"Hartmut Liefke, Dan Suciu",XMILL: An Efficient Compressor for XML Data.
Raghu Ramakrishnan,From Browsing to Interacting: DBMS Support for Responive Websites (Abstract).
"Rakesh Agrawal, Ramakrishnan Srikant",Privacy-Preserving Data Mining.
Ronald G. Ross,Expressing Business Rules.
"Mong-Li Lee, Masaru Kitsuregawa, Beng Chin Ooi, Kian-Lee Tan, Anirban Mondal",Towards Self-Tuning Data Placement in Parallel Database Systems.
"Manuel Rodriguez-Martinez, Nick Roussopoulos, John M. McGann, Stephen Kelley, Vadim Katz, Zhexuan Song, Joseph JáJá",MOCHA: A Database Middleware System Featuring Automatic Deployment of Application-Specific Functionality.
Jana Kosecka,Hierarchies of Sensing and Control in Visually Guided Agents.
Amir Ronen,Algorithms for Rational Agents.
"Joost N. Kok, Kaisa Sere",Coordination-Based Design of Distributed Systems.
"Farhad Arbab, Eric Monfroy",Distributed Splitting of Constraint Satisfaction Problems.
"Masatomo Hashimoto, Akinori Yonezawa",MobileML: A Programming Language for Mobile Computation.
"Farhad Arbab, Frank S. de Boer, Marcello M. Bonsangue",A Logical Interface Description Language for Components.
"Stefan Arbanowski, Sven van der Meer, Radu Popescu-Zeletin",I-centric Services in the Area of Telecommunication 'The I-Talk Service'.
Josef Ferchenbauer,Centralized Network Intelligence vs. Decentralized Network Intelligence.
"Johann Schabauer, Hans Portschy, Rudolf Siebenhofer, Andrea Holzinger",Statistics Warehouse for Intelligent Networks.
"Anke Speer, Ralph Wittmann, Martina Zitterbart",Locating Services in Programmable Networks with AMnet-Signalling.
"Sven van der Meer, Stefan Arbanowski",Service Interoperability through Advanced Media Gateways.
"Hoang Nguyen Minh, Harmen R. van As",Profile-based IN Service Provision for Third Generation Mobile Communication Networks.
"Konrad Wiesneth, Stefan Arntzen",IT-Technology for High Available Solutions in the Telco Environment.
Wilhelm Wimmreuter,Traffic Considerations for Security Services in VoIP Systems.
Klaus Schneider,A Verified Hardware Synthesis of Esterel Programs.
"Ricardo Jorge Machado, João M. Fernandes, H. D. Santos",A Methodology for Complex Embedded Systems Design: Petri Nets within a UML Approach.
Jambunathan K,On Choice of Connection-Polynominals for LFSR-Based Stream Ciphers.
"Yi Mu, Vijay Varadharajan",Distributed Signcryption.
"Dan Boneh, Nagendra Modadugu, Michael Kim",Generating RSA Keys on a Handheld Using an Untrusted Server.
Yuriy Tarannikov,On Resilient Boolean Functions with Maximal Possible Nonlinearity.
"Jorge M. Pacheco, José Luís Martins",Parallelization of a Density Functional Program for Monte-Carlo Simulation of Large Molecules.
"Silvia Del Pino, Luis Piñuel, Rafael A. Moreno, Francisco Tirado",Value Prediction as a Cost-Effective Solution to Improve Embedded Processors Performance.
"Ivan Radev, George Paschos, Niki Pissinou, Kia Makki",Video Content Representation Based on Texture and Lighting.
"Zoran Pecenovic, Minh N. Do, Martin Vetterli, Pearl Pu",Integrated Browsing and Searching of Large Image Collections.
"Santhana Krishnamachari, Akio Yamada, Mohamed Abdel-Mottaleb, Eiji Kasutani","Multimedia Content Filtering, Browsing, and Matching Using MPEG-7 Compact Color Descriptors."
"Glenn S. Iwerks, Hanan Samet",Visualization of Dynamic Spatial Data and Query Results Over Time in a GIS Using Animation.
Judy Lichtman,The Cyber Sisters Club: Penn State Lehigh Valley's Technology Outreach Program for Inner City Girls.
Tom S. Chan,Teaching Computer Porgramming Online with JAVA Applets.
"Catarina Rocha, Kathia Oliveira, Ana Regina Rocha, Mariella Montoni, Alessandro Timbo, Luiz Claudio Sampaio, Alvaro Rabelo Jr.",CardioSurgery: An Environment to Support Surgical Planning and Follow-up in Cardiology.
"Timothy Butler, Virginia McFadden, Kathleen Gilroy",Web learning: Flexibility in Corporate and Academic Education.
Annika Waern,Social Construction of the Internet Society.
"Gustavo Portela, Eduardo Albuquerque",Project EDUCAR: a distance learning project.
"Gregory M. Dick, James Gyure, Sandra Patterson-Randles, J. Jeffrey Sernell",Dr Advisor: A Web Enabled Student Advising Resource.
"Uwe Roth, Andreas Heuer II, Ernst Georg Haffner, Christoph Meinel",A Search-Engine-Topologie to Improve Document Retrieval on the Web.
"John Budenske, Jordan Bonney, Jason Judt, Jim Newhouse",A Science and Technology Literacy Browser.
Carol L. Redfield,Software Tutors Fulfilling Curriculum Topics.
"Richard H. Fowler, Tarkan Karadayi, Zhixiang Chen, Xiannong Meng, Wendy A. Lawrence-Fowler",A Visualization System using Data Mining Techniques for Identifying Information Sources.
"Patricia Worrall, Brian Kline",Using WebCT in a Communications Learning Community.
"Carol A. Gilley, Cheryl Krawchuk, Elaine Terrell",Instructional Voyeurism: A tactic to promote effective on-line learning practices.
Lisa A. Heaton,Facilitating Face to Face Instruction with Online Resources.
"Jie Liang, Qiaowu Li, Taha Mzoughi","A Web-Based Homework Environment Providing Students with Feedback, Incentives and Interactivity."
Mary Flanagan,Using Multimedia Courseware to Bring Together Theory and Practice.
"Pedro Hepp, Ernesto Laval, Rodrigo Garrido",Telecentres in Chile: A Community Access Project.
"Isabel Gallego-Fernandez, Jaime Delgado-Merce, Jose Polo-Cantero",Use of Web-based tools for Computer Architecture learning.
"Patricia Reynolds, Robin Mason",From Videoconferencing to Webcasting.
"Joanne Williams, Jonathan D. Harmon",Design and Development of Web-based Interactive Tutorials For College Chemistry.
"Gail Knopp, Glen Swanton",Continuous Availability and Support for Web-based Applications.
Duane Graddy,Hyperarchical Instructional Design For Economics Courses.
"Simão Pedro Marinho, Alessandra Marinho",From Concrete To Virtual - Using A Science Fair And Web Pages Building As Strategy For The Development Of The Concept Of Hypertext By Elementary School Students.
"T. Craig Montgomerie, Valerie Irvine",Specifying the Next Generation Distance Education System.
"Riccardo Rizzo, Giovanni Fulantelli, Mario Allegra",Browsing a Document Collection as an Hypertext.
"Li Shen, Ling Cheng, James Ford, Fillia Makedon, Vasileios Megalooikonomou, Tilmann Steinberg",Mining the Most Interesting Web Access Associations.
"Randy Weinberg, Diana Bajzek, Larry Heimann",Deploying and Assessing TeamCMU - A Web Based Toolset For Student Project Teams.
"Clemens Chizzali-Bonfadin, Klaus-Peter Adlassnig, Andrea Rappelsberger",HEPAXPERT-III/WWW: An Interactive Knowledge Base For Interpretation Of Serologic Tests For Hepatitis.
"Wendy A. Lawrence-Fowler, Nitza Hernandez Lopez",Forging Partnerships and Networking Learners.
Harumi A. Kuno,Surveying the E-Services Technical Landscape.
"Christof Bornhövd, Mariano Cilia, Christoph Liebig, Alejandro P. Buchmann",An Infrastructure for Meta-Auctions.
Ralf Behrens,MONTANA: Towards a Web-Based Infrastructure to Improve Lecture and Research in a University Environment.
"David Siew, Xun Yi",Agent-Mediated Internet Advertising.
"Andreas Schade, Christian Facciorusso, Simon Field, Yigal Hoffner",Advanced Dynamic Property Evaluation for CORBA-Based Electronic Markets.
"Shervin Shirmohammadi, Nicolas D. Georganas",Collaborating in 3D Virtual Environments: A Synchronous Architecture.
"Joe Y. Shiau, Svetan M. Ratchev, George Valtchanov",Distributed Collaborative Design and Manufacturability Assessment for Extended Enterprise in XML-Based Agent Systems.
"Catherine Plaisant, Anita Komlodi, Francis Lindsay",Evaluation Challenges for a Federation of Heterogeneous Information Providers: The Case of NASA's Earth Science Information Partnerships.
